AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;ESTERIBAR, EMBALSE DE EUGI;Comunidad Foral de Navarra;Navarra;39,6;444
2015;10;ESTERRI DANEU;Cataluña;Lleida;24,5;60
2015;10;FERROL-A GRAÑA;Galicia;A Coruña;94,3;54
2015;10;FIGUERES, ELS ASPRES;Cataluña;Girona;38,8;408
2015;10;FISTERRA;Galicia;A Coruña;159,8;276
2015;10;FOLGOSO DO COUREL;Galicia;Lugo;172,6;156
2015;10;FONFRÍA;Aragón;Teruel;48,4;204
2015;10;FONTMARTINA;Cataluña;Barcelona;47,0;120
2015;10;FORMENTERA;Illes Balears;Illes Balears;39,4;192
2015;10;FORONDA-TXOKIZA;País Vasco;Araba/Álava;39,8;78
2015;10;FORUA;País Vasco;Bizkaia;84,4;228
2015;10;FRAGA;Aragón;Huesca;3,0;132
2015;10;FREDES;Comunitat Valenciana;Castellón/Castelló;42,0;372
2015;10;FREGENAL DE LA SIERRA;Extremadura;Badajoz;165,2;300
2015;10;FRESNO DE CANTIESPINO;Castilla y León;Segovia;44,8;456
2015;10;FRESNO DE SAYAGO;Castilla y León;Zamora;72,4;252
2015;10;FUENCALIENTE;Castilla - La Mancha;Ciudad Real;71,6;168
2015;10;FUENCALIENTE-SALINAS;Canarias;Santa Cruz de Tenerife;83,4;768
2015;10;FUENGIROLA;Andalucía;Málaga;64,8;462
2015;10;FUENTE ALAMO;Región de Murcia;Murcia;13,0;72
2015;10;FUENTE DE CANTOS;Extremadura;Badajoz;90,8;276
2015;10;FUENTE DE PIEDRA;Andalucía;Málaga;56,6;276
2015;10;FUENTE DÉ-TELEFÉRICO;Cantabria;Cantabria;175,6;96
2015;10;FUENTE EL SOL;Castilla y León;Valladolid;37,4;180
2015;10;FUENTE PALMERA-LOS ARROYONES;Andalucía;Córdoba;114,0;432
2015;10;FUENTES DE ANDALUCIA, EL TRAVIESO;Andalucía;Sevilla;96,2;384
2015;10;FUENTESAUCO;Castilla y León;Zamora;41,6;156
2015;10;FUERTEVENTURA/AEROPUERTO;Canarias;Las Palmas;50,0;540
2015;10;GARGANTA LA OLLA;Extremadura;Cáceres;389,0;288
2015;10;GARRUCHA;Andalucía;Almería;25,0;132
2015;10;GAUCÍN;Andalucía;Málaga;205,2;456
2015;10;GIJÓN, MUSEL;Principado de Asturias;Asturias;89,6;156
2015;10;GIJÓN-CAMPUS;Principado de Asturias;Asturias;108,2;276
2015;10;GIRONA, AEROPUERTO;Cataluña;Girona;27,4;132
2015;10;GIRONA, PARC DEL MIGDIA;Cataluña;Girona;22,4;132
2015;10;GOTARRENDURA (AUTOMATICA);Castilla y León;Ávila;46,8;432
2015;10;GRANADA-CARTUJA;Andalucía;Granada;52,0;192
2015;10;GRANADA/AEROPUERTO;Andalucía;Granada;46,1;228
2015;10;GRANADA/BASE AÉREA;Andalucía;Granada;50,3;186
2015;10;GRANOLLERS;Cataluña;Barcelona;0,0;0
2015;10;GRAZALEMA;Andalucía;Cádiz;178,7;516
2015;10;GUADALAJARA;Castilla - La Mancha;Guadalajara;26,6;132
2015;10;GUADALCANAL, CRISTO;Andalucía;Sevilla;100,7;576
2015;10;GUADALUPE (AUTOMATICA);Extremadura;Cáceres;213,0;420
2015;10;GUIJO DE GRANADILLA;Extremadura;Cáceres;146,8;240
2015;10;GÜEÑES;País Vasco;Bizkaia;85,7;312
2015;10;HARO;La Rioja;La Rioja;40,6;84
2015;10;HARÍA-CEMENTERIO;Canarias;Las Palmas;0,0;0
2015;10;HELLÍN;Castilla - La Mancha;Albacete;65,1;192
